The result for hurdat2-1851-2017-050118.txt is:

|     Strom name     ||      Storm ID      ||  Distance travel   ||  Mean propagation  ||  Max propagation   ||        TRSE        ||Max hurricane surface area|
|        N/A         ||      AL081878      ||      3127.95       ||       19.31        ||       31.04        ||     37029000.0     ||        N/A         |
|        N/A         ||      AL091878      ||      2493.47       ||       13.41        ||       25.29        ||     47448000.0     ||        N/A         |
|        N/A         ||      AL101878      ||      1841.21       ||       11.37        ||       17.89        ||     94500000.0     ||        N/A         |
|        N/A         ||      AL111878      ||      2379.55       ||       12.79        ||        33.0        ||     61890000.0     ||        N/A         |
|        N/A         ||      AL121878      ||      1592.72       ||        8.56        ||       12.58        ||     29424000.0     ||        N/A         |
|        N/A         ||      AL011879      ||      1291.16       ||       14.35        ||        18.1        ||     20184000.0     ||        N/A         |
|        N/A         ||      AL021879      ||      3208.81       ||       17.25        ||       31.02        ||     60744000.0     ||        N/A         |
|        N/A         ||      AL031879      ||      1717.87       ||       12.45        ||       18.14        ||     42166000.0     ||        N/A         |
|        N/A         ||      AL041879      ||       817.02       ||        7.17        ||       17.42        ||     66590000.0     ||        N/A         |
|        N/A         ||      AL051879      ||      1349.47       ||       11.84        ||        19.9        ||     9270000.0      ||        N/A         |
|        N/A         ||      AL061879      ||       2404.2       ||       12.93        ||       19.51        ||     19124000.0     ||        N/A         |
|        N/A         ||      AL071879      ||      2362.26       ||       17.12        ||        43.0        ||     23769000.0     ||        N/A         |
|        N/A         ||      AL081879      ||      2219.42       ||       24.66        ||       42.59        ||     33894000.0     ||        N/A         |
|        N/A         ||      AL011880      ||       578.43       ||        5.67        ||        8.22        ||     6084000.0      ||        N/A         |
|        N/A         ||      AL021880      ||      2672.92       ||       10.36        ||       21.22        ||    128900000.0     ||        N/A         |
|        N/A         ||      AL031880      ||      1705.08       ||       12.36        ||       20.07        ||     25548000.0     ||        N/A         |
|        N/A         ||      AL041880      ||      1834.42       ||        8.74        ||       11.78        ||     81978000.0     ||        N/A         |
|        N/A         ||      AL051880      ||      1966.41       ||        8.4         ||       18.71        ||     75306000.0     ||        N/A         |
|        N/A         ||      AL061880      ||      2142.79       ||       15.53        ||        30.5        ||     26452000.0     ||        N/A         |
|        N/A         ||      AL071880      ||      1573.41       ||       23.84        ||        30.2        ||     20016000.0     ||        N/A         |
|        N/A         ||      AL081880      ||      2062.11       ||       11.09        ||       24.02        ||    159486000.0     ||        N/A         |
|        N/A         ||      AL091880      ||      1738.75       ||        12.6        ||       26.84        ||     33397000.0     ||        N/A         |
|        N/A         ||      AL101880      ||      1582.99       ||        9.77        ||        27.9        ||     61134000.0     ||        N/A         |
|        N/A         ||      AL111880      ||      1537.96       ||       15.08        ||       34.89        ||     12649000.0     ||        N/A         |
|        N/A         ||      AL011881      ||       570.81       ||        7.32        ||        9.15        ||     5707000.0      ||        N/A         |
|        N/A         ||      AL031881      ||      1922.88       ||       10.34        ||       15.53        ||     72912000.0     ||        N/A         |
|        N/A         ||      AL021881      ||       681.77       ||        8.74        ||       13.42        ||     4215000.0      ||        N/A         |
|        N/A         ||      AL041881      ||      2288.98       ||       16.59        ||       22.66        ||     25812000.0     ||        N/A         |
|        N/A         ||      AL051881      ||      2166.75       ||       10.32        ||       16.87        ||     73852000.0     ||        N/A         |
|        N/A         ||      AL061881      ||      1419.91       ||       12.46        ||       19.89        ||     42070000.0     ||        N/A         |
|        N/A         ||      AL071881      ||      2280.54       ||       14.08        ||       17.71        ||     21144000.0     ||        N/A         |
|        N/A         ||      AL011882      ||       472.58       ||       19.69        ||       31.92        ||     8232000.0      ||        N/A         |
|        N/A         ||      AL021882      ||      3294.37       ||        12.2        ||       33.23        ||    113790000.0     ||        N/A         |
|        N/A         ||      AL031882      ||       369.82       ||        7.7         ||       10.88        ||     3491250.0      ||        N/A         |
|        N/A         ||      AL041882      ||       824.37       ||       10.57        ||       22.59        ||     5968000.0      ||        N/A         |
|        N/A         ||      AL051882      ||      1552.85       ||       13.62        ||       26.99        ||     33654000.0     ||        N/A         |
|        N/A         ||      AL061882      ||      1994.76       ||        7.73        ||       15.48        ||     98056000.0     ||        N/A         |
|        N/A         ||      AL011883      ||      4191.56       ||       16.25        ||       34.57        ||     71676000.0     ||        N/A         |
|        N/A         ||      AL021883      ||      4089.99       ||       17.48        ||       41.16        ||    135936000.0     ||        N/A         |
|        N/A         ||      AL031883      ||      2212.55       ||        9.97        ||       16.74        ||    153278000.0     ||        N/A         |
|        N/A         ||      AL041883      ||      3279.49       ||       20.24        ||        43.3        ||     27288000.0     ||        N/A         |
|        N/A         ||      AL011884      ||      2509.26       ||       18.18        ||       33.23        ||     27726000.0     ||        N/A         |
|        N/A         ||      AL021884      ||      3616.56       ||       10.96        ||       36.91        ||    169320000.0     ||        N/A         |
|        N/A         ||      AL031884      ||       3958.8       ||       15.34        ||       53.84        ||     65424000.0     ||        N/A         |
|        N/A         ||      AL041884      ||      1518.89       ||        5.89        ||       18.49        ||     86874000.0     ||        N/A         |
|        N/A         ||      AL011885      ||      2738.65       ||       13.04        ||       25.75        ||     55662000.0     ||        N/A         |
|        N/A         ||      AL021885      ||       3435.5       ||       18.47        ||       43.71        ||     68952000.0     ||        N/A         |
|        N/A         ||      AL031885      ||       923.15       ||       13.99        ||       21.64        ||     6054000.0      ||        N/A         |
|        N/A         ||      AL041885      ||      2417.02       ||       14.92        ||       31.26        ||     27714000.0     ||        N/A         |
|        N/A         ||      AL051885      ||       790.12       ||        8.78        ||       21.42        ||     25422000.0     ||        N/A         |
